lambda	n	k
1.250E-4	0.9999719	2.39E-006
1.350E-4	0.9999665	3.13E-006
1.450E-4	0.9999608	4.02E-006
1.500E-4	0.9999578	4.52E-006
1.750E-4	0.9999415	7.78E-006
2.000E-4	0.9999227	1.25E-005
2.500E-4	0.999879	2.75E-005
3.000E-4	0.999831	5.25E-005
3.500E-4	0.999794	9.07E-005
4.000E-4	0.999769	1.20E-004
5.000E-4	0.999706	2.36E-004
6.000E-4	0.999637	9.88E-005
7.000E-4	0.999395	1.68E-004
8.000E-4	0.999156	2.67E-004
8.340E-4	0.999085	3.10E-004
9.890E-4	0.99885	4.40E-004
10.44E-4	0.99871	5.33E-004
12.25E-4	0.99820	9.40E-004
13.34E-4	0.99788	1.23E-003
14.56E-4	0.99759	1.57E-003
15.97E-4	0.99734	1.86E-003
17.59E-4	0.99708	2.34E-003
19.45E-4	0.99665	2.68E-003
21.64E-4	0.99652	2.85E-003
23.62E-4	0.99624	3.76E-003
24.78E-4	0.99600	5.60E-003
27.42E-4	0.99592	6.10E-003
31.36E-4	0.99525	6.15E-003
41.33E-4	0.99100	8.95E-003
47.69E-4	0.988	1.06E-002
56.36E-4	0.986	1.18E-002
61.99E-4	0.983	1.15E-002
68.88E-4	0.979	1.07E-002
82.65E-4	0.963	1.01E-002
103.3E-4	0.929	1.78E-002
112.7E-4	0.911	2.83E-002
118.1E-4	0.900	3.53E-002
124.0E-4	0.889	4.54E-002
140.9E-4	0.889	5.54E-002
141.7E-4	0.888	5.58E-002
142.5E-4	0.887	5.76E-002
144.2E-4	0.886	6.13E-002
145.9E-4	0.887	6.48E-002
146.7E-4	0.888	6.54E-002
147.6E-4	0.888	6.33E-002
148.5E-4	0.885	6.37E-002
149.4E-4	0.884	6.53E-002
151.2E-4	0.881	6.82E-002
155.0E-4	0.878	7.52E-002
158.9E-4	0.875	8.18E-002
163.1E-4	0.873	8.71E-002
167.5E-4	0.869	9.27E-002
172.2E-4	0.862	9.97E-002
177.1E-4	0.857	0.112
182.3E-4	0.855	0.124
187.8E-4	0.856	0.136
193.7E-4	0.857	0.147
200.0E-4	0.859	0.156
206.6E-4	0.863	0.162
213.8E-4	0.861	0.166
221.4E-4	0.856	0.171
229.6E-4	0.848	0.180
238.4E-4	0.839	0.190
248.0E-4	0.828	0.204
253.0E-4	0.821	0.213
258.3E-4	0.814	0.225
263.8E-4	0.809	0.238
269.5E-4	0.805	0.254
275.5E-4	0.805	0.270
281.8E-4	0.807	0.282
288.3E-4	0.807	0.292
295.2E-4	0.804	0.303
302.4E-4	0.799	0.317
309.9E-4	0.795	0.334
317.9E-4	0.793	0.353
326.3E-4	0.791	0.371
335.1E-4	0.786	0.391
344.4E-4	0.783	0.414
354.2E-4	0.779	0.439
364.6E-4	0.788	0.473
375.7E-4	0.781	0.515
387.4E-4	0.805	0.570
399.9E-4	0.851	0.596
406.5E-4	0.870	0.601
413.3E-4	0.887	0.603
420.3E-4	0.900	0.601
427.5E-4	0.905	0.599
442.8E-4	0.901	0.607
459.2E-4	0.895	0.635
0.0470	0.855	0.548
0.04768	0.896	0.679
0.0480	0.846	0.565
0.0490	0.846	0.600
0.0500	0.850	0.645
0.0510	0.860	0.695
0.0520	0.872	0.740
0.0530	0.890	0.795
0.0540	0.915	0.825
0.0550	0.950	0.840
0.0560	0.985	0.848
0.0570	1.022	0.850
0.0580	1.055	0.842
0.0590	1.085	0.830
0.0600	1.113	0.813
0.0610	1.134	0.795
0.0620	1.146	0.770
0.0630	1.153	0.750
0.0640	1.157	0.730
0.0650	1.155	0.710
0.0660	1.140	0.700
0.0670	1.125	0.694
0.0680	1.107	0.687
0.0690	1.088	0.680
0.0700	1.075	0.678
0.0710	1.060	0.680
0.0720	1.050	0.685
0.0730	1.042	0.690
0.0740	1.038	0.697
0.0750	1.033	0.704
0.0760	1.030	0.713
0.0770	1.029	0.720
0.0780	1.028	0.730
0.0790	1.028	0.739
0.0800	1.029	0.745
0.0810	1.030	0.752
0.0820	1.033	0.759
0.0830	1.037	0.765
0.0840	1.041	0.770
0.0850	1.048	0.775
0.0860	1.053	0.780
0.0870	1.061	0.784
0.0880	1.070	0.789
0.0890	1.080	0.793
0.0900	1.090	0.798
0.0910	1.100	0.801
0.0920	1.110	0.806
0.0930	1.121	0.809
0.0940	1.133	0.812
0.095	1.146	0.815
0.096	1.159	0.819
0.097	1.170	0.823
0.098	1.180	0.826
0.099	1.190	0.831
0.100	1.200	0.836
0.101	1.207	0.842
0.102	1.210	0.848
0.103	1.213	0.853
0.104	1.215	0.860
0.105	1.217	0.865
0.106	1.217	0.870
0.107	1.218	0.878
0.108	1.218	0.885
0.109	1.220	0.893
0.110	1.222	0.900
0.111	1.223	0.907
0.112	1.225	0.914
0.113	1.228	0.922
0.114	1.232	0.927
0.115	1.237	0.932
0.116	1.242	0.935
0.117	1.247	0.942
0.118	1.250	0.950
0.119	1.255	0.955
0.120	1.260	0.962
0.121	1.265	0.967
0.122	1.270	0.975
0.123	1.275	0.982
0.124	1.280	0.987
0.125	1.285	0.994
0.126	1.290	1.000
0.127	1.295	1.005
0.128	1.300	1.012
0.129	1.304	1.017
0.130	1.308	1.020
0.131	1.313	1.027
0.132	1.318	1.032
0.133	1.323	1.038
0.134	1.328	1.045
0.135	1.333	1.050
0.136	1.338	1.053
0.137	1.345	1.058
0.138	1.350	1.063
0.139	1.355	1.067
0.140	1.360	1.072
0.145	1.386	1.089
0.150	1.419	1.102
0.155	1.450	1.108
0.160	1.483	1.106
0.165	1.512	1.093
0.170	1.519	1.070
0.175	1.500	1.070
0.180	1.470	1.085
0.185	1.442	1.107
0.190	1.427	1.135
0.195	1.424	1.170
0.200	1.427	1.215
0.2066	1.422	1.306
0.2101	1.430	1.334
0.2138	1.432	1.364
0.2175	1.438	1.388
0.2214	1.442	1.418
0.2254	1.452	1.442
0.2296	1.454	1.478
0.2339	1.462	1.510
0.2384	1.470	1.550
0.2431	1.478	1.590
0.2480	1.484	1.636
0.2530	1.490	1.698
0.2583	1.504	1.748
0.2638	1.546	1.784
0.2695	1.598	1.822
0.2755	1.648	1.852
0.2818	1.690	1.882
0.2883	1.742	1.900
0.2952	1.776	1.918
0.3024	1.812	1.920
0.3100	1.830	1.916
0.3179	1.840	1.904
0.3263	1.824	1.878
0.3351	1.798	1.860
0.3444	1.766	1.846
0.3542	1.740	1.848
0.3647	1.716	1.862
0.3757	1.696	1.906
0.3875	1.674	1.936
0.4000	1.658	1.956
0.4133	1.636	1.958
0.4275	1.616	1.940
0.4428	1.562	1.904
0.4592	1.426	1.846
0.4769	1.242	1.796
0.4959	0.916	1.840
0.5166	0.608	2.120
0.5391	0.402	2.540
0.5636	0.306	2.88
0.6526	0.166	3.15
0.6888	0.160	3.80
0.7293	0.164	4.35
0.7749	0.174	4.86
0.8266	0.188	5.39
0.8856	0.210	5.88
0.9537	0.236	6.47
1.033	0.272	7.07
1.127	0.312	7.93
1.240	0.372	8.77
1.265	0.389	8.09
1.291	0.403	8.25
1.319	0.419	8.42
1.378	0.436	8.59
1.384	0.454	8.77
1.409	0.473	8.96
1.442	0.493	9.15
1.476	0.515	9.36
1.512	0.537	9.58
1.550	0.559	9.81
1.590	0.583	10.1
1.631	0.609	10.3
